data,valor
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,907
2026-05-05,336
2026-05-06,533
2026-05-07,134
2026-05-08,141
2026-05-09,34
2026-05-10,12
2026-05-11,144
2026-05-12,16
2026-05-13,50
2026-05-14,3
2026-05-15,29
2026-05-16,6
2026-05-17,13
2026-05-18,20
2026-05-19,0
2026-05-20,38
2026-05-21,6
2026-05-22,76
2026-05-23,57
2026-05-24,3
